,name,address,budget,genre
0,イタリアンダイニングバーエルデ,東京都新宿区西新宿７-7-21 ラ・メゾン・ワタナベ,B004,G006
1,a coeur joie,東京都荒川区西尾久８丁目ー４４ー４,B008,G006
2,A bientot,東京都杉並区荻窪５丁目10－21　ＴＹビル　１Ｆ,B011,G014
3,アーキテクチャcafe&bar 棲家,東京都新宿区新宿３-6-7 4階,B003,G002
4,アークヒルズ カフェ ARK HiLLS CAFE,東京都港区六本木１-３-４０アークヒルズ カラヤン広場 スペイン坂入口,B002,G014
5,ARGENT,東京都目黒区中町１-２５-１２,B008,G006
6,阿香米線 アーシャンミーシェン,東京都新宿区高田馬場２-14-9-2F,B001,G007
7,アースカフェ EARTH CAFE 五反田店,東京都品川区東五反田５－２２－３３　ＴＫ池田山ビル１Ｆ,B001,G014
8,ARTS,東京都港区南青山３-2-6　セントラル第5青山ビルBF,B004,G012
9,Art Shop Na,東京都台東区松が谷１-8-12,B008,G012
10,アートスペース フェニクス,東京都足立区足立４-20-12  VILLA五反野101,B001,G007
11,アートラウンジ デュエット 京王プラザホテル,東京都新宿区西新宿２-２-１　京王プラザホテル3階,B004,G014
12,アートレッグカフェ art ReG cafe 下北沢店,東京都世田谷区代沢５-30-10 アール下北沢2F,B002,G002
13,アーバンヒュッテK2,東京都江戸川区平井３-28-1東和プラザ１Ｆ,B001,G012
14,アーペ ape,東京都目黒区駒場４－６－１　東大駒場リサーチキャンパス生研　Ａｎ棟１Ｆ,B005,G006
15,アームウッド コテージ ARMWOOD COTTAGE,東京都新宿区新宿１‐１０‐５ 不二越ロフト２Ｆ,B002,G002
16,Early Birds Dining 田原町店,東京都台東区寿３-19-8　変なホテル2階,,G003
17,Ｒ 市ヶ谷,東京都千代田区六番町４‐１１　朝日六番町マンションＢ１Ｆ,B008,G002
18,R Whisky bar&cigar,東京都新宿区西新宿１-2-11,B013,G012
19,Rcafe アールカフェ 192,東京都墨田区横網１－9－2　ＮＴＴドコモ墨田ビル低層棟,B001,G014
20,RCタバーン 丸の内センタービル店,東京都千代田区丸の内1-6-1丸の内センタービルB1F,B002,G006
21,R's cafe shouwanomori,東京都昭島市田中町584-14,B011,G014
22,R2 SUPPERCLUB,東京都港区六本木７-14-23 セントラム六本木1F,B008,G002
23,RT アールティー アジアンカフェ,東京都調布市小島町２-56-3 B1,B001,G009
24,R1 TOKYO Bar&Restaurant,東京都港区六本木６-2-6　GEMS六本木1階～2階,B004,G002
